"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227496",17.7939424645456,3.46406426590355,1.65109573218209,2.09803962204266,NA,NA
"ENSG00000261036",13.5715688351564,4.86421659739067,2.02454964924931,2.40261660127441,NA,NA
"ENSG00000242371",7.17057509122352,3.12107941794275,1.79778145836348,1.73607275980245,0.0825509701972784,0.149020582563918
"ENSG00000264151",8.47519638460237,2.43116754444269,1.93340719959279,1.25745241093275,NA,NA
"ENSG00000213355",16.281738098417,4.23460402271507,1.797289154526,2.35610614577589,0.0184676397929361,0.0498446976935556
"ENSG00000147378",17.1334299643381,2.94720727590546,1.45496821338418,2.02561626349927,0.042804123608522,0.0951963709053529
"ENSG00000250387",7.57807783627601,2.90510836346647,1.80764892165115,1.60711979448579,0.108028091856222,0.169928766046501
"ENSG00000236069",20.6200737272261,3.24852062946707,1.93508999442492,1.67874395445494,NA,NA
"ENSG00000236039",26.1895540285533,2.53234455172982,1.38174057087703,1.83272070394695,NA,NA
"ENSG00000137090",9.29264088808781,2.70573722725604,1.52134892858053,1.77851193531295,NA,NA
"ENSG00000261706",15.3493208877075,4.63731677282817,2.19201556940655,2.11554919479136,NA,NA
"ENSG00000251511",13.8219074121339,4.86176645586594,2.30181023028983,2.11214912154326,0.0346736608662293,0.081002333788334
"ENSG00000259828",24.1574183978593,2.41466763743908,1.39637993032652,1.72923398925853,0.0837672254351806,0.15024057207084
"ENSG00000146276",30.212057393101,2.69761107374724,1.88920518835353,1.42790793206441,NA,NA
"ENSG00000134160",22.6397293831584,2.62749995709765,1.43679076299395,1.82872831923177,0.0674403178607893,0.12560140711109
"ENSG00000181617",8.33480590103794,3.3499518947834,2.2251632257238,1.50548591494618,NA,NA
"ENSG00000172482",27.2580465798904,2.18435731538101,1.33019442667492,1.64213386522844,NA,NA
"ENSG00000118231",17.357858573968,3.85296935916369,1.2914515243048,2.98344094737724,0.00285027031722125,0.0171300403772772
"ENSG00000240476",28.4300186430266,3.20762092765153,1.72942465125817,1.85473297452881,NA,NA
"ENSG00000099937",34.6660779585591,2.73587036480367,1.24486189480986,2.19773002628661,0.0279683504890906,0.0676104472692799
"ENSG00000120937",15.6289912422945,4.14546222851284,1.64932618363435,2.51342776804657,NA,NA
"ENSG00000163825",6.30946271543411,4.94666907095588,2.45933226039172,2.01138705437385,NA,NA
"ENSG00000226690",10.7928838395676,2.92298896496074,1.53870036468267,1.89964793149545,0.0574793376111903,0.114137541827935
"ENSG00000185640",21.7102472303683,4.39186021186095,1.99870700940538,2.19735068281345,NA,NA
"ENSG00000254092",29.2445359126576,2.2026421171724,1.34905610814739,1.63272832306226,0.102526147823564,0.166679936227782
"ENSG00000211946",11.8332271331353,2.46692611959756,1.59149587135852,1.55006755844849,NA,NA
